Model,Dataset,Config_ID,Model_Size_Parameters,Performance_Val_Accuracy_Avg,Num_Seeds_Averaged
CNN,RightWhaleCalls,44,119,0.5045,5
CNN,RightWhaleCalls,57,146,0.5052,5
CNN,RightWhaleCalls,61,303,0.5081,5
CNN,RightWhaleCalls,17,354,0.5419,5
CNN,CBF,17,1107,0.9996,5
CNN,CBF,10,1819,1.0000,5
FCNN,RightWhaleCalls,18,62,0.5319,5
FCNN,RightWhaleCalls,59,440,0.5509,5
FCNN,RightWhaleCalls,23,740,0.5519,5
FCNN,CBF,18,1343,0.9751,5
FCNN,CBF,49,1473,0.9826,5
FCNN,CBF,38,2355,0.9830,5
FCNN,CBF,28,2823,0.9830,5
FCNN,CBF,88,3321,0.9895,5
FCNN,CBF,39,3385,0.9912,5
FCNN,CBF,2,6051,0.9940,5
FCNN,CBF,26,11665,0.9946,5
FCNN,CBF,89,12513,0.9966,5
GRU,BinaryHeartbeat,10,4450,0.7356,5
GRU,CBF,10,4483,0.9970,5
GRU,CBF,98,5619,1.0000,5
LSTM,Beef,10,6789,0.2800,5
LSTM,Beef,98,8501,0.2967,5
LSTM,Beef,85,9911,0.3000,5
LSTM,Beef,45,35255,0.3100,5
LSTM,Beef,48,36181,0.3200,5
LSTM,Beef,75,36325,0.3300,5
LSTM,classification_ozone,68,37598,0.4942,5
LSTM,BeetleFly,68,37598,0.7100,5
LSTM,AbnormalHeartbeat,68,37598,0.7317,5
LSTM,BinaryHeartbeat,68,37598,0.7317,5
LSTM,CBF,68,37755,0.9989,5
LSTM,CBF,3,63939,0.9994,5
LSTM,CBF,36,63939,0.9996,5
LSTM,CBF,84,76791,0.9998,5
LSTM,CBF,76,93477,1.0000,5
Transformer,Beef,69,68657,0.2800,5
Transformer,EigenWorms,74,76413,0.9000,5
Transformer,CounterMovementJump,22,107754,0.9083,5
Transformer,EigenWorms,58,108246,0.9523,5
Transformer,CBF,95,124071,0.9858,5
Transformer,CBF,85,205009,0.9970,5
Transformer,CBF,19,211689,0.9996,5
Transformer,CBF,90,424285,0.9998,5
Transformer,CBF,14,963574,1.0000,5
