Constraint_Type,Constraint_Value,Hybrid_Name,Performance_At_Timeout,Performance_Retention,Budget_Utilization
max_epochs,1000,Aggressive_Aggressive,0.5505,0.6505,1.0
max_epochs,1000,Aggressive_Gradual,0.981,0.981,1.0
max_epochs,1000,Aggressive_Linear,0.9562,0.9581,1.0
max_epochs,1000,Aggressive_Standard,0.8114,0.8468,1.0
max_epochs,1000,Aggressive_TwoStage,0.8114,0.8468,1.0
max_epochs,1000,Conservative_Aggressive,0.4267,0.6854,1.0
max_epochs,1000,Conservative_Gradual,0.96,0.96,1.0
max_epochs,1000,Conservative_Linear,0.9124,0.9338,1.0
max_epochs,1000,Conservative_Standard,0.7371,0.7983,1.0
max_epochs,1000,Conservative_TwoStage,0.7371,0.9208,1.0
max_epochs,1000,Moderate_Aggressive,0.5505,0.7387,1.0
max_epochs,1000,Moderate_Gradual,0.981,0.981,1.0
max_epochs,1000,Moderate_Linear,0.9562,0.9576,1.0
max_epochs,1000,Moderate_Standard,0.8114,0.8514,1.0
max_epochs,1000,Moderate_TwoStage,0.8114,0.9368,1.0
max_epochs,1000,Standard_Aggressive,0.3467,0.7708,1.0
max_epochs,1000,Standard_Gradual,0.9352,0.9429,1.0
max_epochs,1000,Standard_Linear,0.8514,0.9714,1.0
max_epochs,1000,Standard_Standard,0.6667,0.823,1.0
max_epochs,1000,Standard_TwoStage,0.6667,0.9273,1.0
max_epochs,1000,VeryAggressive_Aggressive,0.5505,0.6716,1.0
max_epochs,1000,VeryAggressive_Gradual,0.981,0.981,1.0
max_epochs,1000,VeryAggressive_Linear,0.9562,0.9562,1.0
max_epochs,1000,VeryAggressive_Standard,0.8114,0.8371,1.0
max_epochs,1000,VeryAggressive_TwoStage,0.8114,0.8371,1.0
max_epochs,2000,Aggressive_Aggressive,0.7333,0.8443,1.0
max_epochs,2000,Aggressive_Gradual,0.9867,0.9867,1.0
max_epochs,2000,Aggressive_Linear,0.9695,0.9733,1.0
max_epochs,2000,Aggressive_Standard,0.8971,0.9224,1.0
max_epochs,2000,Aggressive_TwoStage,0.8971,0.9224,1.0
max_epochs,2000,Conservative_Aggressive,0.6762,0.8484,1.0
max_epochs,2000,Conservative_Gradual,0.9848,0.9848,1.0
max_epochs,2000,Conservative_Linear,0.9619,0.9719,1.0
max_epochs,2000,Conservative_Standard,0.8857,0.9198,1.0
max_epochs,2000,Conservative_TwoStage,0.8857,0.9711,1.0
max_epochs,2000,Moderate_Aggressive,0.419,0.7624,1.0
max_epochs,2000,Moderate_Gradual,0.9733,0.9733,1.0
max_epochs,2000,Moderate_Linear,0.901,0.9062,1.0
max_epochs,2000,Moderate_Standard,0.8305,0.866,1.0
max_epochs,2000,Moderate_TwoStage,0.8305,0.9619,1.0
max_epochs,2000,Standard_Aggressive,0.4057,1.0,0.5247
max_epochs,2000,Standard_Gradual,0.9829,0.99,1.0
max_epochs,2000,Standard_Linear,0.6914,0.8878,1.0
max_epochs,2000,Standard_Standard,0.8057,0.9373,1.0
max_epochs,2000,Standard_TwoStage,0.179,0.7849,1.0
max_epochs,2000,VeryAggressive_Aggressive,0.7333,0.8537,1.0
max_epochs,2000,VeryAggressive_Gradual,0.9867,0.9867,1.0
max_epochs,2000,VeryAggressive_Linear,0.9695,0.971,1.0
max_epochs,2000,VeryAggressive_Standard,0.8971,0.909,1.0
max_epochs,2000,VeryAggressive_TwoStage,0.8971,0.909,1.0
max_epochs,5000,Aggressive_Aggressive,0.7695,1.0,0.8196
max_epochs,5000,Aggressive_Gradual,0.9943,0.9943,1.0
max_epochs,5000,Aggressive_Linear,0.9752,0.9752,1.0
max_epochs,5000,Aggressive_Standard,0.9333,0.9767,1.0
max_epochs,5000,Aggressive_TwoStage,0.9333,0.9767,1.0
max_epochs,5000,Conservative_Aggressive,0.4362,1.0,0.7746
max_epochs,5000,Conservative_Gradual,0.9886,0.9886,1.0
max_epochs,5000,Conservative_Linear,0.979,0.9857,1.0
max_epochs,5000,Conservative_Standard,0.8971,0.9595,1.0
max_epochs,5000,Conservative_TwoStage,0.8895,0.9552,1.0
max_epochs,5000,Moderate_Aggressive,0.4933,1.0,0.4398
max_epochs,5000,Moderate_Gradual,0.9657,0.9657,1.0
max_epochs,5000,Moderate_Linear,0.9295,0.9348,1.0
max_epochs,5000,Moderate_Standard,0.8895,0.969,1.0
max_epochs,5000,Moderate_TwoStage,0.3276,0.9017,1.0
max_epochs,5000,Standard_Aggressive,0.4057,1.0,0.2099
max_epochs,5000,Standard_Gradual,0.9238,0.9333,1.0
max_epochs,5000,Standard_Linear,0.8686,0.9876,1.0
max_epochs,5000,Standard_Standard,0.541,1.0,0.6839
max_epochs,5000,Standard_TwoStage,0.1981,1.0,0.4199
max_epochs,5000,VeryAggressive_Aggressive,0.8419,0.9503,1.0
max_epochs,5000,VeryAggressive_Gradual,0.9943,0.9943,1.0
max_epochs,5000,VeryAggressive_Linear,0.9924,0.9924,1.0
max_epochs,5000,VeryAggressive_Standard,0.9562,0.9676,1.0
max_epochs,5000,VeryAggressive_TwoStage,0.9562,0.9676,1.0
max_time_hours,10,Aggressive_Aggressive,0.7695,1.0,0.0653
max_time_hours,10,Aggressive_Gradual,0.9962,0.9962,0.164
max_time_hours,10,Aggressive_Linear,0.9905,0.9905,0.1519
max_time_hours,10,Aggressive_Standard,0.9314,0.9905,0.112
max_time_hours,10,Aggressive_TwoStage,0.9314,0.9905,0.112
max_time_hours,10,Conservative_Aggressive,0.4362,1.0,0.0625
max_time_hours,10,Conservative_Gradual,1.0,1.0,0.261
max_time_hours,10,Conservative_Linear,0.9029,0.9886,0.211
max_time_hours,10,Conservative_Standard,0.819,1.0,0.1262
max_time_hours,10,Conservative_TwoStage,0.3314,0.9981,0.1088
max_time_hours,10,Moderate_Aggressive,0.4933,1.0,0.0359
max_time_hours,10,Moderate_Gradual,0.9962,0.9962,0.1726
max_time_hours,10,Moderate_Linear,0.9867,1.0,0.1444
max_time_hours,10,Moderate_Standard,0.901,1.0,0.0823
max_time_hours,10,Moderate_TwoStage,0.341,1.0,0.0823
max_time_hours,10,Standard_Aggressive,0.4057,1.0,0.017
max_time_hours,10,Standard_Gradual,0.9752,0.9962,0.2321
max_time_hours,10,Standard_Linear,0.3162,0.9981,0.1108
max_time_hours,10,Standard_Standard,0.541,1.0,0.0549
max_time_hours,10,Standard_TwoStage,0.1981,1.0,0.0339
max_time_hours,10,VeryAggressive_Aggressive,0.7238,0.9924,0.1113
max_time_hours,10,VeryAggressive_Gradual,1.0,1.0,0.1989
max_time_hours,10,VeryAggressive_Linear,0.9962,0.9981,0.1875
max_time_hours,10,VeryAggressive_Standard,0.9429,0.9924,0.1525
max_time_hours,10,VeryAggressive_TwoStage,0.9429,0.9924,0.1525
max_time_hours,24,Aggressive_Aggressive,0.7695,1.0,0.0272
max_time_hours,24,Aggressive_Gradual,1.0,1.0,0.0743
max_time_hours,24,Aggressive_Linear,0.9924,1.0,0.0676
max_time_hours,24,Aggressive_Standard,0.9333,1.0,0.0478
max_time_hours,24,Aggressive_TwoStage,0.9333,1.0,0.0478
max_time_hours,24,Conservative_Aggressive,0.4362,1.0,0.0261
max_time_hours,24,Conservative_Gradual,0.9981,0.9981,0.1288
max_time_hours,24,Conservative_Linear,0.9124,0.9981,0.0999
max_time_hours,24,Conservative_Standard,0.819,1.0,0.0543
max_time_hours,24,Conservative_TwoStage,0.3333,1.0,0.0462
max_time_hours,24,Moderate_Aggressive,0.4933,1.0,0.015
max_time_hours,24,Moderate_Gradual,1.0,1.0,0.079
max_time_hours,24,Moderate_Linear,0.9867,1.0,0.0634
max_time_hours,24,Moderate_Standard,0.901,1.0,0.0343
max_time_hours,24,Moderate_TwoStage,0.341,1.0,0.0343
max_time_hours,24,Standard_Aggressive,0.4057,1.0,0.0071
max_time_hours,24,Standard_Gradual,0.9752,1.0,0.1116
max_time_hours,24,Standard_Linear,0.3181,1.0,0.0471
max_time_hours,24,Standard_Standard,0.541,1.0,0.0229
max_time_hours,24,Standard_TwoStage,0.1981,1.0,0.0141
max_time_hours,24,VeryAggressive_Aggressive,0.7314,1.0,0.0473
max_time_hours,24,VeryAggressive_Gradual,1.0,1.0,0.0937
max_time_hours,24,VeryAggressive_Linear,0.9981,1.0,0.0877
max_time_hours,24,VeryAggressive_Standard,0.9505,1.0,0.0678
max_time_hours,24,VeryAggressive_TwoStage,0.9505,1.0,0.0678
max_time_hours,72,Aggressive_Aggressive,0.7695,1.0,0.0091
max_time_hours,72,Aggressive_Gradual,1.0,1.0,0.0248
max_time_hours,72,Aggressive_Linear,0.9924,1.0,0.0225
max_time_hours,72,Aggressive_Standard,0.9333,1.0,0.0159
max_time_hours,72,Aggressive_TwoStage,0.9333,1.0,0.0159
max_time_hours,72,Conservative_Aggressive,0.4362,1.0,0.0087
max_time_hours,72,Conservative_Gradual,1.0,1.0,0.0446
max_time_hours,72,Conservative_Linear,0.9143,1.0,0.0338
max_time_hours,72,Conservative_Standard,0.819,1.0,0.0181
max_time_hours,72,Conservative_TwoStage,0.3333,1.0,0.0154
max_time_hours,72,Moderate_Aggressive,0.4933,1.0,0.005
max_time_hours,72,Moderate_Gradual,1.0,1.0,0.0263
max_time_hours,72,Moderate_Linear,0.9867,1.0,0.0211
max_time_hours,72,Moderate_Standard,0.901,1.0,0.0114
max_time_hours,72,Moderate_TwoStage,0.341,1.0,0.0114
max_time_hours,72,Standard_Aggressive,0.4057,1.0,0.0024
max_time_hours,72,Standard_Gradual,0.9752,1.0,0.0381
max_time_hours,72,Standard_Linear,0.3181,1.0,0.0157
max_time_hours,72,Standard_Standard,0.541,1.0,0.0076
max_time_hours,72,Standard_TwoStage,0.1981,1.0,0.0047
max_time_hours,72,VeryAggressive_Aggressive,0.7314,1.0,0.0158
max_time_hours,72,VeryAggressive_Gradual,1.0,1.0,0.0315
max_time_hours,72,VeryAggressive_Linear,0.9981,1.0,0.0292
max_time_hours,72,VeryAggressive_Standard,0.9505,1.0,0.0226
max_time_hours,72,VeryAggressive_TwoStage,0.9505,1.0,0.0226
