Constraint_Type,max_epochs,max_epochs,max_epochs,max_time_hours,max_time_hours,max_time_hours
Constraint_Value,1000,2000,5000,10,24,72
Hybrid_Name,,,,,,
Aggressive_Aggressive,0.5505,0.7333,0.7695,0.7695,0.7695,0.7695
Aggressive_Gradual,0.981,0.9867,0.9943,0.9962,1.0,1.0
Aggressive_Linear,0.9562,0.9695,0.9752,0.9905,0.9924,0.9924
Aggressive_Standard,0.8114,0.8971,0.9333,0.9314,0.9333,0.9333
Aggressive_TwoStage,0.8114,0.8971,0.9333,0.9314,0.9333,0.9333
Conservative_Aggressive,0.4267,0.6762,0.4362,0.4362,0.4362,0.4362
Conservative_Gradual,0.96,0.9848,0.9886,1.0,0.9981,1.0
Conservative_Linear,0.9124,0.9619,0.979,0.9029,0.9124,0.9143
Conservative_Standard,0.7371,0.8857,0.8971,0.819,0.819,0.819
Conservative_TwoStage,0.7371,0.8857,0.8895,0.3314,0.3333,0.3333
Moderate_Aggressive,0.5505,0.419,0.4933,0.4933,0.4933,0.4933
Moderate_Gradual,0.981,0.9733,0.9657,0.9962,1.0,1.0
Moderate_Linear,0.9562,0.901,0.9295,0.9867,0.9867,0.9867
Moderate_Standard,0.8114,0.8305,0.8895,0.901,0.901,0.901
Moderate_TwoStage,0.8114,0.8305,0.3276,0.341,0.341,0.341
Standard_Aggressive,0.3467,0.4057,0.4057,0.4057,0.4057,0.4057
Standard_Gradual,0.9352,0.9829,0.9238,0.9752,0.9752,0.9752
Standard_Linear,0.8514,0.6914,0.8686,0.3162,0.3181,0.3181
Standard_Standard,0.6667,0.8057,0.541,0.541,0.541,0.541
Standard_TwoStage,0.6667,0.179,0.1981,0.1981,0.1981,0.1981
VeryAggressive_Aggressive,0.5505,0.7333,0.8419,0.7238,0.7314,0.7314
VeryAggressive_Gradual,0.981,0.9867,0.9943,1.0,1.0,1.0
VeryAggressive_Linear,0.9562,0.9695,0.9924,0.9962,0.9981,0.9981
VeryAggressive_Standard,0.8114,0.8971,0.9562,0.9429,0.9505,0.9505
VeryAggressive_TwoStage,0.8114,0.8971,0.9562,0.9429,0.9505,0.9505
