Hybrid_Schedule,Final_Hit_Probability,Final_Regret,Total_Rounds
Moderate_Linear,0.0,0.009268,5
Moderate_Standard,0.2,0.005268,5
Moderate_Aggressive,0.4,0.003415,4
Moderate_Gradual,0.0,0.00839,5
Moderate_TwoStage,0.2,0.00722,4
Aggressive_Linear,0.0,0.008195,4
Aggressive_Standard,0.2,0.006146,4
Aggressive_Aggressive,0.6,0.002244,4
Aggressive_Gradual,0.0,0.009171,4
Aggressive_TwoStage,0.2,0.006146,4
Conservative_Linear,0.0,0.007902,6
Conservative_Standard,0.6,0.002244,6
Conservative_Aggressive,0.4,0.003707,4
Conservative_Gradual,0.0,0.008195,6
Conservative_TwoStage,0.2,0.006341,4
VeryAggressive_Linear,0.0,0.008195,4
VeryAggressive_Standard,0.0,0.008195,4
VeryAggressive_Aggressive,0.6,0.002049,4
VeryAggressive_Gradual,0.0,0.009171,4
VeryAggressive_TwoStage,0.0,0.008195,4
Standard_Linear,0.0,0.007024,6
Standard_Standard,0.6,0.002049,7
Standard_Aggressive,0.4,0.001463,4
Standard_Gradual,0.0,0.008976,8
Standard_TwoStage,0.4,0.003512,4
